Champion,BE,RP,HP,HP+,HP5,HP5+,Resource,MP,MP+,MP5,MP5+,MS,AD,AD+,AS,AS+,Range,Armor,Armor+,MR,MR+,Release Date,Attributes,Birthdate
Gragas,3150,790,670,109,5.5,0.5,Mana,400,47,6,0.8,330,64,3.5,0.675,2.05,125,38,4.8,32,2.05,2010-02-02,Fighter?¥?Mage,2023-02-02
Graves,4800,880,625,106,8,0.7,Mana,325,40,8,0.7,340,66,4,0.475,2.6,425,33,4.6,32,2.05,2011-10-19,Marksman,2023-10-19
Gwen,6300,975,620,109,8.5,0.9,Mana,330,40,7.5,0.7,340,63,3,0.69,2.25,150,39,5.2,32,2.05,2021-04-15,Fighter?¥?Assassin,
Hecarim,4800,880,625,99,7,0.75,Mana,277,60,6.5,0.6,345,66,3.2,0.67,2.5,175,32,5.45,32,2.05,2012-04-18,Fighter?¥?Tank,2023-04-18
Heimerdinger,3150,790,558,101,7,0.55,Mana,385,20,8,0.8,340,56,2.7,0.625,1.36,550,19,4.2,30,1.3,2009-10-10,Mage?¥?Support,2023-10-10
Illaoi,4800,880,656,109,9.5,0.8,Mana,300,50,7.5,0.75,340,68,5,0.625,2.5,125,35,5,32,2.05,2015-11-24,Fighter?¥?Tank,2023-11-24
Irelia,3150,790,590,124,8.5,0.85,Mana,350,50,8,0.8,335,65,4,0.656,2.5,200,36,4.2,32,2.05,2010-11-16,Fighter?¥?Assassin,2023-11-16
Ivern,4800,880,655,99,7,0.85,Mana,450,60,6,0.75,330,50,3,0.644,3.4,475,27,4.7,32,2.05,2016-10-05,Support?¥?Mage,2023-10-05
Janna,1350,585,570,84,5.5,0.55,Mana,350,64,11.5,0.4,330,52,3,0.625,2.95,500,28,5,30,1.3,2009-09-02,Support?¥?Mage,2023-09-02
Jarvan IV,4800,880,640,104,8,0.7,Mana,300,55,6.5,0.45,340,64,3,0.658,2.5,175,37,4.8,32,2.05,2011-03-01,Tank?¥?Fighter,2023-03-01
Jax,1350,585,665,100,8.5,0.55,Mana,339,52,7.6,0.7,350,68,4.25,0.638,3.4,125,36,4.2,32,2.05,2009-02-21,Fighter?¥?Assassin,2023-02-21
Jayce,4800,880,590,109,6,0.6,Mana,375,45,6,0.8,335,57,4.25,0.658,3,125,22,5,30,1.3,2012-07-07,Fighter?¥?Marksman,2023-07-07
Jhin,4444,880,655,107,3.75,0.55,Mana,300,50,6,0.8,330,59,4.7,0.625,0,550,24,4.7,30,1.3,2016-02-01,Marksman?¥?Mage,2023-02-01
Jinx,3150,790,630,100,3.75,0.5,Mana,260,50,6.7,1,325,57,3.15,0.625,1,525,26,4.7,30,1.3,2013-10-10,Marksman,2023-10-10
K'Sante,6300,975,610,114,9.5,0.85,Mana,290,60,7,1,330,64,3.5,0.625,2.5,175,33,4.7,30,2.1,2022-11-02,Tank?¥?Fighter,
Kai'Sa,1350,585,670,102,3.5,0.55,Mana,345,40,8.2,0.7,335,59,2,0.644,1.8,525,28,4.2,30,1.3,2018-03-07,Marksman,
Kalista,4800,880,600,114,4,0.75,Mana,300,45,6.3,0.4,335,61,3.25,0.694,4.5,525,24,5.2,30,1.3,2014-11-20,Marksman,2023-11-19
Karma,3150,790,604,109,5.5,0.55,Mana,374,50,13,0.5,335,54,3.3,0.625,2.3,525,28,5,30,1.3,2011-02-01,Mage?¥?Support,2023-02-01
Karthus,3150,790,620,110,6.5,0.55,Mana,467,31,8,0.8,335,46,3.25,0.625,2.11,450,21,4.7,30,1.3,2009-06-12,Mage,2023-06-12
Kassadin,3150,790,646,119,6,0.5,Mana,400,87,6,0.8,335,59,3.9,0.64,3.7,150,19,4,30,1.3,2009-08-07,Assassin?¥?Mage,2023-08-07
Katarina,3150,790,672,108,7.5,0.7,None,,,,,335,58,3.2,0.658,2.74,125,28,4.7,32,2.05,2009-09-19,Assassin?¥?Mage,2023-09-19
Kayle,4800,260,670,92,5,0.5,Mana,330,50,8,0.8,335,50,2.5,0.625,1.5,175,26,4.2,22,1.3,2009-02-21,Fighter?¥?Support,2023-02-21
Kayn,6300,975,655,99,8,0.75,Mana,410,50,11.5,0.95,340,68,3.3,0.669,2.7,175,38,4.5,32,2.05,2017-07-12,Fighter?¥?Assassin,2023-07-12
Kennen,4800,880,611,98,5.5,0.65,Energy,,,,,335,48,3.75,0.625,3.4,550,29,4.95,30,1.3,2010-04-08,Mage?¥?Marksman,2023-04-08
Kha'Zix,4800,880,643,99,7.5,0.75,Mana,327,40,7.59,0.5,350,63,3.1,0.668,2.7,125,36,4.2,32,2.05,2012-09-27,Assassin,2023-09-27
Kindred,4800,880,610,104,7,0.55,Mana,300,35,7,0.4,325,65,3.25,0.625,4.7,500,29,3.5,30,1.3,2015-10-14,Marksman,2023-10-14
Kled,6300,975,410,84,6,0.75,Courage,,,,,345,65,3.5,0.625,3.5,125,35,5.2,28,2.05,2016-08-10,Fighter?¥?Tank,2023-08-10
Kog'Maw,4800,880,635,99,3.75,0.55,Mana,325,40,8.75,0.7,330,61,3.11,0.665,2.65,500,24,4.45,30,1.3,2010-06-24,Marksman?¥?Mage,2023-06-24
LeBlanc,3150,790,598,111,7.5,0.55,Mana,400,55,8,1,340,55,3.5,0.625,1.4,525,22,4.7,30,1.3,2010-11-02,Assassin?¥?Mage,2023-11-02
Lee Sin,1350,585,645,99,7.5,0.7,Energy,,,,,345,66,3.7,0.651,3,125,34,4.9,32,2.05,2011-04-01,Fighter?¥?Assassin,2023-04-01
Leona,450,260,646,101,8.5,0.85,Mana,302,40,6,0.8,335,60,3,0.625,2.9,125,47,4.8,32,2.05,2011-07-13,Tank?¥?Support,2023-07-13
Lillia,6300,975,650,104,2.5,0.55,Mana,410,50,11.5,0.95,330,61,3.1,0.625,2.7,325,20,5.2,32,1.55,2020-07-22,Fighter?¥?Mage,
Lissandra,4800,880,620,110,7,0.55,Mana,475,30,8,0.4,325,55,2.7,0.656,1.36,550,22,4.9,30,1.3,2013-04-30,Mage,2023-04-30
Lucian,1350,585,641,100,3.75,0.65,Mana,349,38,8.18,0.7,335,60,2.9,0.638,3.3,500,28,4.2,30,1.3,2013-08-22,Marksman,2023-08-22
Lulu,4800,880,595,88,6,0.6,Mana,350,55,11,0.6,330,47,2.6,0.625,2.25,550,29,4.9,30,1.3,2012-03-20,Support?¥?Mage,2023-03-20
Lux,450,260,560,99,5.5,0.55,Mana,480,23.5,8,0.8,330,54,3.3,0.669,2,550,19,5.2,30,1.3,2010-10-19,Mage?¥?Support,2023-10-19
Malphite,450,260,644,104,7,0.55,Mana,280,60,7.32,0.55,335,62,4,0.736,3.4,125,37,4.95,28,2.05,2009-09-02,Tank?¥?Fighter,2023-09-02
Malzahar,4800,880,607,101,6,0.6,Mana,375,28,8,0.8,335,55,3,0.625,1.5,500,18,4.7,30,1.3,2010-06-01,Mage?¥?Assassin,2023-06-01
Maokai,4800,880,635,109,5,0.75,Mana,375,43,7.2,0.6,335,64,3.3,0.8,2.125,125,39,5.2,32,2.05,2011-02-16,Tank?¥?Mage,2023-02-16
Master Yi,450,260,669,100,7.5,0.65,Mana,251,42,7.26,0.45,355,65,2.2,0.679,2,175,33,4.2,32,2.05,2009-02-21,Assassin?¥?Fighter,2023-02-21
Milio,6300,975,560,88,5,0.5,Mana,365,43,11.5,0.4,330,48,3.2,0.625,3,525,28,4.9,30,1.2,2023-03-23,Support?¥?Mage,
Miss Fortune,450,260,640,103,3.75,0.65,Mana,325.84,40,8,0.8,325,52,2.4,0.656,3,550,28,4.2,30,1.3,2010-09-08,Marksman,2023-09-08
Mordekaiser,1350,585,645,104,5,0.75,Shield,,,,,335,61,4,0.625,1,175,37,4.2,32,2.05,2010-02-24,Fighter,2023-02-24
Morgana,1350,585,630,104,5.5,0.4,Mana,340,60,11,0.4,335,56,3.5,0.625,1.53,450,25,4.2,30,1.3,2009-02-21,Mage?¥?Support,2023-02-21
Nami,3150,790,560,88,5.5,0.55,Mana,365,43,11.5,0.4,335,51,3.1,0.644,2.61,550,29,5.2,30,1.3,2012-12-07,Support?¥?Mage,2023-12-07
Nasus,1350,585,631,104,9,0.9,Mana,326,62,7.44,0.5,350,67,3.5,0.638,3.48,125,34,4.7,32,2.05,2009-10-01,Fighter?¥?Tank,2023-10-01
Nautilus,4800,880,646,100,8.5,0.55,Mana,400,47,8.65,0.5,325,61,3.3,0.706,1,175,39,4.95,32,2.05,2012-02-14,Tank?¥?Fighter,2023-02-14
Neeko,4800,880,610,104,7.5,0.75,Mana,450,30,7,0.7,340,48,2.5,0.625,3.5,550,21,5.2,30,1.3,2018-12-05,Mage?¥?Support,2023-12-05
Nidalee,3150,790,610,109,6,0.6,Mana,295,45,6,0.8,335,58,3.5,0.638,3.22,525,32,5,30,1.3,2009-12-17,Assassin?¥?Mage,2023-12-17
Nilah,6300,975,570,109,3.25,0.7,Mana,350,35,8.2,0.7,340,58,2,0.697,3,225,27,4.2,32,2.05,2022-07-13,Fighter?¥?Assassin,
Nocturne,3150,790,655,109,7,0.75,Mana,275,35,7,0.45,345,62,2.6,0.721,2.7,125,38,4.7,32,1.55,2011-03-15,Assassin?¥?Fighter,2023-03-15
Nunu & Willump,450,260,610,90,5,0.8,Mana,280,42,7,0.5,345,61,3,0.625,2.25,125,29,4.2,32,2.05,2009-02-21,Tank?¥?Fighter,2023-02-21
Olaf,3150,790,645,119,6.5,0.6,Mana,316,50,7.5,0.6,350,68,4.7,0.694,2.7,125,35,4.2,32,2.05,2010-06-08,Fighter?¥?Tank,2023-06-09
Orianna,4800,880,600,105,7,0.55,Mana,418,25,8,0.8,325,40,2.6,0.658,3.5,525,20,4.2,26,1.3,2011-06-01,Mage?¥?Support,2023-06-01
Ornn,4800,880,670,109,9,0.9,Mana,341,65,8,0.6,335,69,3.5,0.625,2,175,33,5.2,32,2.05,2017-08-23,Tank?¥?Fighter,2023-08-23
Pantheon,1350,585,650,109,6,0.65,Mana,317.12,31,7.36,0.45,345,64,3.3,0.658,2.95,175,40,4.95,28,2.05,2010-02-02,Fighter?¥?Assassin,2023-02-02
Poppy,450,260,610,104,8,0.8,Mana,280,40,7,0.7,345,64,4,0.625,2.5,125,38,4.7,32,2.05,2010-01-13,Tank?¥?Fighter,2023-01-13
Pyke,3150,790,670,104,7,0.5,Mana,415,50,8,1,330,62,2,0.667,2.5,150,45,4.7,32,2.05,2018-05-31,Support?¥?Assassin,2023-05-31
Qiyana,4800,880,590,124,7.5,0.9,Mana,320,50,8,0.7,335,66,3.1,0.688,2.1,150,28,4.7,32,2.05,2019-06-28,Assassin?¥?Fighter,2023-06-28
Quinn,4800,880,603,99,5.5,0.55,Mana,269,35,7,0.4,335,59,2.4,0.668,3.1,525,28,4.7,30,1.3,2013-03-01,Marksman?¥?Assassin,2023-03-01
Rakan,6300,975,610,99,5,0.5,Mana,315,50,8.75,0.5,335,62,3.5,0.635,3,300,30,4.9,32,2.05,2017-04-19,Support,2023-04-19
Rammus,1350,585,675,94,8,0.55,Mana,310,33,7.84,0.5,335,55,3.5,0.656,2.215,125,40,5.5,32,2.05,2009-07-10,Tank?¥?Fighter,2023-07-10
Rek'Sai,4800,880,640,99,7.5,0.65,Rage,,,,,335,61,3,0.667,2,175,36,4.95,32,2.05,2014-12-11,Fighter,2023-12-11
Rell,4800,880,610,104,8.5,0.85,Mana,350,45,6,0.35,330,55,3,0.625,1.5,175,32,3,32.1,2.05,2020-12-09,Tank,
Renata Glasc,6300,975,545,94,5.5,0.55,Mana,350,50,11.5,0.5,335,49,3,0.625,2.11,550,27,5.2,30,1.3,2022-02-17,Support,
Renekton,4800,880,660,111,8,0.75,Fury,,,,,345,69,4.15,0.665,2.75,125,35,5.2,32,2.05,2011-01-18,Fighter?¥?Tank,2023-01-17
Rengar,4800,880,620,104,7,0.5,Ferocity,,,,,345,68,3,0.667,3,125,34,4.2,32,2.05,2012-08-21,Assassin?¥?Fighter,2023-08-20
Riven,4800,880,630,100,8.5,0.5,None,,,,,340,64,3,0.625,3.5,125,33,4.4,32,2.05,2011-09-14,Fighter?¥?Assassin,2023-09-14
Rumble,4800,880,659,99,8,0.6,Heat,,,,,345,61,3.2,0.644,1.85,125,36,4.7,28,1.55,2011-04-26,Fighter?¥?Mage,2023-04-26
Ryze,4800,260,645,124,8,0.8,Mana,300,70,8,1,340,58,3,0.625,2.11,550,22,4.2,32,1.3,2009-02-21,Mage?¥?Fighter,2023-02-21
Samira,3150,790,600,108,3.25,0.55,Mana,349,38,8.2,0.7,335,57,3.3,0.658,3.3,500,26,4.7,30,1.3,2020-09-21,Marksman,
Sejuani,450,260,630,114,8.5,1,Mana,400,40,7,0.7,340,66,4,0.688,3.5,150,34,5.45,32,2.05,2012-01-17,Tank?¥?Fighter,2023-01-17
Senna,3150,790,530,89,3.5,0.55,Mana,350,45,11.5,0.7,330,50,0,0.625,4,600,28,4.7,30,1.3,2019-11-10,Marksman?¥?Support,2023-11-10
Seraphine,3150,790,570,104,6.5,0.6,Mana,440,40,8,1,325,55,3,0.669,1,525,19,4.2,30,1.3,2020-10-29,Mage?¥?Support,
Sett,1350,585,670,114,7,0.5,Grit,,,,,340,60,4,0.625,1.75,125,33,5.2,28,2.05,2020-01-14,Fighter?¥?Tank,2023-01-15
Shaco,3150,790,657,99,8.5,0.55,Mana,297,40,7.15,0.45,350,63,3,0.694,3,125,30,4,32,2.05,2009-10-10,Assassin,2023-10-10
Shen,3150,790,610,99,8.5,0.75,Energy,,,,,340,60,3,0.751,3,125,34,4.2,32,2.05,2010-03-24,Tank,2023-03-24
Shyvana,3150,790,665,109,8.5,0.8,Fury,,,,,350,66,3.4,0.658,2.5,125,38,4.55,32,2.05,2011-11-01,Fighter?¥?Tank,2023-11-01
Singed,4800,260,650,99,9.5,0.55,Mana,330,45,7.5,0.55,345,63,3.4,0.613,1.9,125,34,4.7,32,2.05,2009-04-18,Tank?¥?Fighter,2023-04-18
Sion,1350,585,655,87,7.5,0.8,Mana,400,52,8,0.6,345,68,4,0.679,1.3,175,32,4.2,32,2.05,2009-02-21,Tank?¥?Fighter,2023-02-21
Sivir,450,260,600,104,3.25,0.55,Mana,325,45,6,0.8,335,58,2.8,0.625,2,500,26,4.45,30,1.3,2009-02-21,Marksman,2023-02-21
Skarner,4800,880,650,99,9,0.85,Mana,320,60,7.2,0.45,335,65,4.5,0.625,2.1,125,38,5,32,2.05,2011-08-09,Fighter?¥?Tank,2023-08-09
Sona,1350,585,550,91,5.5,0.55,Mana,340,45,11.5,0.4,325,49,3,0.644,2.3,550,26,4.2,30,1.3,2010-09-20,Support?¥?Mage,2023-09-20
Soraka,450,260,605,88,2.5,0.5,Mana,425,40,11.5,0.4,325,50,3,0.625,2.14,550,32,5,30,1.3,2009-02-21,Support?¥?Mage,2023-02-21
Swain,3150,790,595,99,7,0.65,Mana,468,28.5,8,0.8,330,58,2.7,0.625,2.11,525,26,5.2,30,1.3,2010-10-05,Mage?¥?Fighter,2023-10-05
Sylas,3150,790,575,129,9,0.9,Mana,310,80,7,0.8,340,61,3,0.645,4.7,175,27,4,32,2.55,2019-01-25,Mage?¥?Assassin,2023-01-25
Syndra,4800,880,563,104,6.5,0.6,Mana,480,40,8,0.8,330,54,2.9,0.625,2,550,25,4.6,30,1.3,2012-09-13,Mage?¥?Support,2023-09-13
Tahm Kench,4800,880,640,103,6.5,0.55,Mana,325,50,8,1,335,56,3.2,0.658,2.5,175,42,4.7,32,2.05,2015-07-09,Support?¥?Tank,2023-07-09
Taliyah,6300,975,570,104,6.5,0.65,Mana,470,30,8,0.8,335,58,3.3,0.625,1.36,525,18,4.7,30,1.3,2016-05-18,Mage?¥?Support,2023-05-18
Talon,4800,880,658,109,8.5,0.75,Mana,400,37,7.6,0.8,335,68,3.1,0.625,2.9,125,30,4.7,39,2.05,2011-08-24,Assassin,2023-08-24
Taric,1350,585,645,99,6,0.5,Mana,300,60,8.5,0.8,340,55,3.5,0.625,2,150,40,4.6,28,2.05,2009-08-19,Support?¥?Fighter,2023-08-19
Teemo,450,260,598,104,5.5,0.65,Mana,334,25,9.6,0.45,330,54,3,0.69,3.38,500,24,4.95,30,1.3,2009-02-21,Marksman?¥?Assassin,2023-02-21
Thresh,3150,790,600,120,7,0.55,Mana,274,44,6,0.8,330,56,2.2,0.625,3.5,450,28,0,30,1.3,2013-01-23,Support?¥?Fighter,2023-01-23
Tristana,1350,585,670,102,4,0.65,Mana,250,32,7.2,0.45,325,59,3.7,0.656,1.5,525,26,4.2,30,1.3,2009-02-21,Marksman?¥?Assassin,2023-02-21
Trundle,3150,790,686,110,6,0.75,Mana,340,45,7.5,0.6,350,68,3,0.67,2.9,175,37,3.9,32,2.05,2010-12-01,Fighter?¥?Tank,2023-12-01
Tryndamere,1350,585,696,115,8.5,0.9,Fury,,,,,345,72,4,0.67,2.9,125,33,4.3,32,2.05,2009-05-01,Fighter?¥?Assassin,2023-05-01
Twisted Fate,4800,585,604,108,5.5,0.6,Mana,333,39,8,0.8,330,52,3.3,0.651,3.22,525,21,4.35,30,1.3,2009-02-21,Mage,2023-02-21
Twitch,3150,790,682,100,3.75,0.6,Mana,300,40,7.26,0.7,330,59,3.11,0.679,3.38,550,27,4.2,30,1.3,2009-05-01,Marksman?¥?Assassin,2023-05-01
Udyr,1350,585,664,92,6,0.75,Mana,271,50,7.5,0.45,350,62,4,0.65,3,125,31,4.7,32,2.05,2009-12-02,Fighter?¥?Tank,2023-12-02
Urgot,3150,790,655,102,7.5,0.7,Mana,340,45,7.25,0.8,330,63,4,0.625,3.75,350,36,5.45,32,2.05,2010-08-24,Fighter?¥?Tank,2023-08-24
Varus,4800,880,600,105,3.5,0.55,Mana,360,40,8,0.8,330,62,3.4,0.658,4,575,27,4.6,30,1.3,2012-05-08,Marksman?¥?Mage,2023-05-08
Vayne,3150,790,550,103,3.5,0.55,Mana,232,35,7,0.4,330,60,2.35,0.658,3.3,550,23,4.6,30,1.3,2011-05-10,Marksman?¥?Assassin,2023-05-10
Veigar,1350,585,550,108,6.5,0.6,Mana,490,26,8,0.8,340,52,2.7,0.625,2.24,550,18,5.2,32,1.3,2009-07-24,Mage,2023-07-24
Vel'Koz,4800,880,590,102,5.5,0.55,Mana,469,21,8,0.8,340,55,3.1416,0.625,1.36,525,22,4.7,30,1.3,2014-02-27,Mage,2023-02-27
Vex,3150,790,590,104,6.5,0.6,Mana,490,32,6,0.8,335,54,2.75,0.669,1,550,23,4.45,28,1.3,2021-09-22,Mage,
Vi,1350,585,655,109,10,1,Mana,295,65,8,0.65,340,63,3,0.644,2,125,30,4.7,32,2.05,2012-12-19,Fighter?¥?Assassin,2023-12-19
Viego,6300,975,630,109,7,0.7,None,,,,,345,57,3.5,0.658,2.5,225,34,5.2,32,2.05,2021-01-21,Assassin?¥?Fighter,
Viktor,3150,790,600,104,8,0.65,Mana,405,45,8,0.8,335,53,3,0.658,2.11,525,23,5.2,30,1.3,2011-12-29,Mage,2023-12-29
Vladimir,3150,790,607,110,7,0.6,Crimson Rush,,,,,330,55,3,0.658,2,450,27,4.5,30,1.3,2010-07-27,Mage,2023-07-27
Volibear,3150,790,650,104,9,0.75,Mana,350,70,6.25,0.5,340,60,3.5,0.625,2,150,31,5.2,32,2.05,2011-11-29,Fighter?¥?Tank,2023-11-29
Warwick,450,260,620,99,4,0.75,Mana,280,35,7.45,0.6,335,65,3,0.638,2.3,125,33,4.4,32,2.05,2009-02-21,Fighter?¥?Tank,2023-02-21
Wukong,3150,790,610,99,3.5,0.65,Mana,300,65,8,0.65,345,66,3.5,0.711,3,175,31,4.7,28,2.05,2011-07-26,Fighter?¥?Tank,2023-07-26
Xayah,4800,880,660,102,3.25,0.75,Mana,340,40,8.25,0.8,330,60,3.5,0.658,3.9,525,25,4.2,30,1.3,2017-04-19,Marksman,2023-04-19
Xerath,1350,585,596,106,5.5,0.55,Mana,459,22,8,0.8,340,55,3,0.625,1.36,525,22,4.7,30,1.3,2011-10-05,Mage,2023-10-05
Xin Zhao,1350,585,640,106,8,0.7,Mana,274,55,7.26,0.45,345,66,3,0.645,3.5,175,35,4.7,32,2.05,2010-07-13,Fighter?¥?Assassin,2023-07-13
Yasuo,1350,585,590,110,6.5,0.9,Flow,,,,,345,60,3,0.697,3.5,175,30,4.6,32,2.05,2013-12-13,Fighter?¥?Assassin,2023-12-13
Yone,3150,790,620,105,7.5,0.75,Flow,,,,,345,60,2,0.625,3.5,175,30,4.6,32,2.05,2020-08-06,Assassin?¥?Fighter,
Yorick,3150,790,650,114,8,0.8,Mana,300,60,7.5,0.75,340,62,5,0.625,2,175,39,5.2,32,2.05,2011-06-22,Fighter?¥?Tank,2023-06-22
Yuumi,450,260,500,69,5,0.55,Mana,440,45,10,0.4,330,49,3.1,0.625,1,425,25,4.2,25,1.1,2019-05-15,Support?¥?Mage,2023-04-26
Zac,4800,880,685,109,8,0.5,None,,,,,340,60,3.4,0.736,1.6,175,33,4.7,32,2.05,2013-03-29,Tank?¥?Fighter,2023-03-29
Zed,1350,585,654,99,7,0.65,Energy,,,,,345,63,3.4,0.651,3.3,125,32,4.7,29,2.05,2012-11-13,Assassin,2023-11-13
Zeri,6300,975,630,110,3.25,0.7,Mana,250,45,6,0.8,330,53,1.3,0.658,2,500,24,4.2,30,1.3,2022-01-20,Marksman,
